X;771.3868
Y;826.4761
Z;595.9772
x;0.3516
y;0.3767
u;0.2063
v;0.3316
u_prime;0.2063
v_prime;0.4973
Tc_CCT;4856.0522
Nit;826.4761
r_ratio;18.7172
g_ratio;75.7557
b_ratio;5.5271
DUV;0.0097
Ra;96.1479
R1;97.8730
R2;96.6207
R3;97.5663
R4;93.3974
R5;96.5991
R6;96.7086
R7;94.2329
R8;96.1852
R9;98.1374
R10;94.7164
R11;94.5930
R12;87.7706
R13;95.8142
R14;98.6776
R15;94.6762
Lp;538.0000
HW;321.7942
Ld;568.2495
purity;18.9167
SP;2.8982
SDCM;7.4745
k;5000.0000
lux;826.4761
Ee;4.3160
fc;76.7821
CQS;95.6058
GAI_EES;79.6764
GAI_BB_8;88.5365
GAI_BB_15;91.5050
EML;150.7340
M_EDI;136.6102
Red_Ee;0.6862
Nir_EeA;0.1547
Nir_EeB;0.4442
"--- SPEKTRUM (nm; W/m2) ---"
340;0.000000
341;0.000000
342;0.000000
343;0.000000
344;0.000000
345;0.000000
346;0.000000
347;0.000000
348;0.000000
349;0.000000
350;0.000000
351;0.000000
352;0.000000
353;0.000000
354;0.000000
355;0.000000
356;0.000000
357;0.000000
358;0.000000
359;0.000000
360;0.000000
361;0.000000
362;0.000000
363;0.000000
364;0.000000
365;0.000000
366;0.000000
367;0.000000
368;0.000000
369;0.000000
370;0.000000
371;0.000000
372;0.000000
373;0.000000
374;0.000000
375;0.000000
376;0.000000
377;0.000000
378;0.000000
379;0.000000
380;0.000000
381;0.000000
382;0.000000
383;0.000000
384;0.000000
385;0.000000
386;0.000000
387;0.000000
388;0.000000
389;0.000000
390;0.000000
391;0.000000
392;0.000000
393;0.000000
394;0.000319
395;0.000212
396;0.000000
397;0.000000
398;0.000137
399;0.000130
400;0.000000
401;0.000786
402;0.000709
403;0.001682
404;0.002241
405;0.002103
406;0.001921
407;0.001786
408;0.002531
409;0.003059
410;0.002636
411;0.002596
412;0.002558
413;0.002951
414;0.003717
415;0.004134
416;0.003917
417;0.003523
418;0.003233
419;0.003938
420;0.004570
421;0.004801
422;0.004674
423;0.004207
424;0.004766
425;0.004429
426;0.004154
427;0.004446
428;0.004768
429;0.004636
430;0.004847
431;0.005553
432;0.005553
433;0.004827
434;0.004995
435;0.005738
436;0.005811
437;0.006327
438;0.006696
439;0.006484
440;0.006460
441;0.006913
442;0.008005
443;0.007950
444;0.007452
445;0.007500
446;0.007612
447;0.008237
448;0.008106
449;0.008702
450;0.009134
451;0.008913
452;0.009208
453;0.009042
454;0.008870
455;0.009310
456;0.009396
457;0.009722
458;0.009373
459;0.009590
460;0.009534
461;0.009817
462;0.009908
463;0.009960
464;0.009864
465;0.009778
466;0.009597
467;0.009718
468;0.010043
469;0.010584
470;0.010829
471;0.010454
472;0.010056
473;0.010307
474;0.010533
475;0.010098
476;0.010424
477;0.010504
478;0.010262
479;0.010371
480;0.010846
481;0.010866
482;0.010977
483;0.011452
484;0.010697
485;0.010128
486;0.010291
487;0.010649
488;0.010695
489;0.010757
490;0.010876
491;0.011230
492;0.011776
493;0.011435
494;0.011298
495;0.011574
496;0.011835
497;0.011657
498;0.011155
499;0.010991
500;0.010988
501;0.011052
502;0.011397
503;0.011338
504;0.011006
505;0.011128
506;0.011224
507;0.011335
508;0.011459
509;0.011212
510;0.011277
511;0.011570
512;0.011541
513;0.011637
514;0.011668
515;0.011360
516;0.011276
517;0.010975
518;0.010627
519;0.011099
520;0.011959
521;0.012216
522;0.011986
523;0.011728
524;0.012001
525;0.012001
526;0.011751
527;0.011499
528;0.011557
529;0.011670
530;0.012132
531;0.012394
532;0.012594
533;0.012488
534;0.012087
535;0.011957
536;0.012071
537;0.012366
538;0.012852
539;0.012565
540;0.012130
541;0.011874
542;0.011629
543;0.011714
544;0.012053
545;0.012124
546;0.012051
547;0.012176
548;0.012123
549;0.011945
550;0.012515
551;0.012743
552;0.012796
553;0.012265
554;0.011855
555;0.011857
556;0.011860
557;0.011765
558;0.011454
559;0.011417
560;0.011471
561;0.011206
562;0.011363
563;0.011615
564;0.011184
565;0.010903
566;0.010946
567;0.011126
568;0.010883
569;0.010623
570;0.010457
571;0.010562
572;0.010927
573;0.010724
574;0.010308
575;0.010089
576;0.009887
577;0.010187
578;0.010544
579;0.010681
580;0.010895
581;0.010902
582;0.010964
583;0.011240
584;0.011400
585;0.011471
586;0.011347
587;0.011090
588;0.010967
589;0.010533
590;0.009982
591;0.009710
592;0.010054
593;0.010557
594;0.010857
595;0.010771
596;0.010739
597;0.010811
598;0.010784
599;0.010830
600;0.010634
601;0.010821
602;0.011030
603;0.011036
604;0.011275
605;0.011298
606;0.010908
607;0.011144
608;0.011229
609;0.011359
610;0.011476
611;0.011226
612;0.010859
613;0.010892
614;0.011061
615;0.011039
616;0.011158
617;0.011269
618;0.011438
619;0.011647
620;0.011640
621;0.011313
622;0.011109
623;0.011349
624;0.011236
625;0.011221
626;0.010991
627;0.010656
628;0.010225
629;0.010277
630;0.010495
631;0.010549
632;0.010777
633;0.011227
634;0.011403
635;0.011418
636;0.011463
637;0.011397
